project_id,program_id,program_name,close_year,close_status,close_reason,primary_domain,authority_flags,sponsor_entity_id,executing_entity_id,transition_partner_entity_id,primary_vendor_id,primary_vendor_name,peak_rdte_funding_musd,total_duration_months,funding_gate_successes,contracting_gate_successes,test_gate_successes,ops_eval_score,gao_findings_count,gao_avg_severity,vendor_avg_technical_rating,vendor_avg_management_rating,max_cyber_findings,notes
HIST-ISR-001-A,PRG-ISR-001,Joint ISR Fusion System,2016,Transitioned,Early fusion prototype fielded to limited ISR cells,ISR,10/50USC,SRV-ARMY-AFC-ISR,LAB-NAVY-NRL-ISR,AGY-DIA-TECH,VND-ACME,Acme Defense ISR,60,36,2,2,1,78,0,0.0,3.5,3.0,0,Set baseline for later ISR fusion spirals
HIST-ISR-001-B,PRG-ISR-001,Joint ISR Fusion System,2018,Transitioned,Capability integrated into two COCOM J2 shops,ISR,10/50USC,SRV-ARMY-AFC-ISR,LAB-AFRL-RIO-ISR,AGY-NGA-GEOINT,VND-ACME,Acme Defense ISR,85,48,3,2,2,82,1,3.0,3.5,3.0,1,Supported early multi theater ISR pilots
HIST-ISR-001-C,PRG-ISR-001,Joint ISR Fusion System,2020,Canceled,Requirements drift and overlap with legacy all source tool,ISR,10USC,SRV-ARMY-PEO-IEW-S,LAB-AFRL-RIO-ISR,,VND-SECURENET,SecureNet Integrators,45,36,2,1,1,55,2,3.5,3.0,3.0,2,Cancelled at milestone review due to duplication
HIST-ISR-001-D,PRG-ISR-001,Joint ISR Fusion System,2022,OnHold,Budget rephasing under CR and joint data fabric review,ISR,10/50USC,SRV-ARMY-AFC-ISR,LAB-NAVY-NRL-ISR,AGY-NGA-GEOINT,VND-GEODATA,GeoData Analytics Inc,60,30,2,1,1,68,3,4.0,4.0,4.0,0,Awaiting enterprise data architecture decision
HIST-ISR-001-E,PRG-ISR-001,Joint ISR Fusion System,2023,Transitioned,Core services adopted in new joint ISR cloud,ISR,10/50USC,AGY-ODNI-AR,LAB-MITRE-FFRDC,AGY-DIA-TECH,VND-PALANTIR,Palantir Technologies,95,54,3,2,2,86,3,4.0,4.0,3.5,1,Became part of common intelligence data layer
HIST-CYB-002-A,PRG-CYB-002,Cyber Defense Mesh,2017,OnHold,Competing priority for endpoint modernization effort,Cyber,10USC,SRV-AF-LCMC-ISR,LAB-NAVY-NRL-CYBER,,VND-SECURENET,SecureNet Integrators,30,20,1,1,0,52,1,2.5,2.5,2.0,1,Pilot stopped while endpoint strategy reset
HIST-CYB-002-B,PRG-CYB-002,Cyber Defense Mesh,2019,Transitioned,Mesh pilot adopted by USCYBERCOM J9 for limited ops,Cyber,50USC,AGY-NSA-RESEARCH,LAB-ARMY-ARL-AI,UNIT-CYBERCOM-J9,VND-CYBERCO,CyberCo Security,40,24,2,2,1,76,1,3.0,4.0,4.0,1,Pilot fed requirements for larger mesh effort
HIST-CYB-002-C,PRG-CYB-002,Cyber Defense Mesh,2021,Canceled,Integration cost with legacy tools and workforce constraints,Cyber,10USC,SRV-AF-LCMC-ISR,LAB-NAVY-NRL-CYBER,,VND-SECURENET,SecureNet Integrators,55,30,2,2,0,49,3,3.7,3.2,3.0,3,Terminated after poor OT and sustainment concerns
HIST-CYB-002-D,PRG-CYB-002,Cyber Defense Mesh,2022,Transitioned,Capabilities migrated into CISA and DoD stacks,Cyber,10/50USC,AGY-NSA-CYBEROPS,LAB-MITRE-FFRDC,AGY-DHS-CISA-CSD,VND-CLOUDNOVA,CloudNova Defense,70,42,3,2,2,81,4,4.0,4.0,4.0,1,Forms basis of current joint cyber platform
HIST-CYB-002-E,PRG-CYB-002,Cyber Defense Mesh,2024,OnHold,Awaiting zero trust reference architecture alignment,Cyber,10/50USC,OSD-RAND-R&E,LAB-NAVWAR-NIWC-PAC,AGY-NSA-CYBEROPS,VND-LEIDOS,Leidos,65,32,2,1,1,64,2,3.5,3.5,2.0,1,Pending guidance from enterprise cyber board
HIST-AI-003-A,PRG-AI-003,AI Target Recognition,2016,Transitioned,Deployed as decision aid tool in one AOR,AI,10USC,SRV-ARMY-AFC-ISR,LAB-ARMY-ARL-AI,AGY-NGA-GEOINT,VND-ALPHA,Alpha Analytics,25,18,2,1,1,73,0,0.0,3.0,3.0,0,Low risk assistive analytics only
HIST-AI-003-B,PRG-AI-003,AI Target Recognition,2018,OnHold,Ethical review and policy slower than algorithms,AI,10/50USC,AGY-CIA-DST,LAB-MITRE-FFRDC,AGY-ODNI-AR,VND-ANALYTICA,Analytica AI Labs,50,30,2,1,1,62,2,3.5,3.5,1.0,1,Held pending updated targeting and AI policy
HIST-AI-003-C,PRG-AI-003,AI Target Recognition,2020,Canceled,Adversarial robustness issues and high retrain cost,AI,50USC,AGY-NSA-QUANT,LAB-ARMY-ARL-AI,,VND-GEODATA,GeoData Analytics Inc,65,36,2,2,1,48,4,3.8,3.2,3.0,2,Lessons reused in robust AI research
HIST-AI-003-D,PRG-AI-003,AI Target Recognition,2021,Transitioned,Limited release as analyst copilot not auto targeter,AI,10USC,SRV-AF-LCMC-ISR,LAB-AFRL-RIO-ISR,AGY-DIA-TECH,VND-PALANTIR,Palantir Technologies,55,24,2,2,1,79,1,3.5,3.5,1.0,0,Became early AI copilot for imagery shops
