Block,Record_ID,Service_or_Agency,Organization,Program_Name,Program_Acronym,Portfolio_or_Mission_Area,Capability_Area,Program_Element_Number,Line_Item,Appropriation_Type,Budget_Activity,Funding_Category,Fiscal_Year,POM_Window,Funding_ThenYear_USD_M,Funding_Base_USD_M,Classification_Level,TRL_or_Maturity,Tier_or_Priority,Sponsor,Executor,Partner_Nations,RDTandE_Phase,Transition_Pathway,IC_or_DoD_Stakeholders,Risk_or_Issue_Flags,Alignment_Notes,Source_Document,Source_Page_or_Table,Source_URL,Analyst_Notes
"Army BA2","ARMY-BA2-0602105A","Army","Department of the Army","Materials Technology","", "Materials / Survivability","Advanced armor, structures, energetics, power, survivability","0602105A","0602105A","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 3 – Low","ASA(ALT)","Army Research Lab (ARL) / CCDC","","Applied Research","BA2 materials S&T → BA3 ground vehicle, soldier protection, and weapons ATDs → BA4/BA5 PoRs","Army, OSD(R&E), CCMDs","Funding amounts pending R-1 mapping","Title IV RDT&E; Army core S&T materials line aligned to ground force survivability","DoD R-1 / NDAA / Appropriations","","https://comptroller.defense.gov/Budget-Materials/","Representative Army BA2 materials program for ABM; funding to be filled from FY26 R-1."
"Army BA3","ARMY-BA3-0603007A","Army","Department of the Army","Night Vision Advanced Technology","", "ISR / Soldier Systems / Sensors","Night vision, fused I²/thermal, weapon sights, panoramic goggles","0603007A","0603007A","RDT&E","BA 3 (Advanced Technology Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 4–6","Tier 2 – Medium","PEO Soldier / ASA(ALT)","C5ISR NVESD","","Advanced Technology Development","BA2 night vision tech → BA3 night vision ATDs → BA4 ENVG/IVAS PoRs","Army, JS, SOCOM","Integration risk with soldier systems; schedule risk vs fielding timelines","Aligned with soldier lethality and ISR priorities under Title IV RDT&E","DoD R-1 / Appropriations Explanatory Statement","","https://comptroller.defense.gov/Budget-Materials/","Key Army BA3 NVESD program; provides clear BA2→BA3→BA4 path for ABM."
"Navy BA2","NAVY-BA2-0602270N","Navy","Department of the Navy","Naval Electronic Warfare Science & Technology","", "EW / Sensors","Naval EW techniques, RF phenomenology, threat signal characterization","0602270N","0602270N","RDT&E","BA 2 (Applied Research)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 2–4","Tier 2 – Medium","ONR","ONR + NSWC Crane","","Applied Research","BA2 EW S&T → BA3 SEWIP/autonomous EW ATDs → BA4 SEWIP and airborne EW systems","Navy, OSD(R&E), MDA, Joint EW stakeholders","Technology transition risk from lab to fleet; threat evolution risk","Supports naval EW superiority; Title IV RDT&E","Navy R-1 / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Template Navy BA2 EW line; tie to specific 0602270N sub-lines when mapping real data."
"Navy BA3","NAVY-BA3-USV-ATD","Navy","Department of the Navy","Large/Medium Unmanned Surface Vehicle (USV) Advanced Technology","USV ATD","Surface / Autonomy / ISR","USV autonomy, navigation, payload integration, MUM-T","TBD_BA3_NAVY_USV","TBD_BA3_NAVY_USV","RDT&E","BA 3 (Advanced Technology Development)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 4–6","Tier 2 – Medium","PEO USC / ONR","PEO USC + ONR + NSWC Carderock","","Advanced Technology Development","BA2 naval autonomy → BA3 USV ATDs → BA4 USV programs of record (LUSV/MUSV)","Navy, OSD(R&E), Fleet Forces, INDOPACOM","Concept of operations risk; integration with fleet architectures; autonomy certification","Aligned to Distributed Maritime Operations and unmanned campaigns","Navy R-1 / FY NDAA report language on USV","","https://comptroller.defense.gov/Budget-Materials/","Good example of autonomy/maritime ATD bridging to BA4 USV PoRs in ABM."
"Navy BA4","NAVY-BA4-0604771N","Navy","Department of the Navy","Littoral Combat Ship (LCS) Mission Modules System Development","LCS MM","Surface / MCM / ASW","LCS mission modules (SUW, ASW, MCM) sensors and weapons","0604771N","0604771N","RDT&E","BA 4 (Advanced Component Development & Prototypes)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","TRL 6–8","Tier 2 – Medium","PEO USC","PEO USC / NSWC Panama City / NSWC Dahlgren","","System Development & Demonstration","BA3 USV/MCM ATDs → BA4 LCS mission modules → BA7 surface warfare/mine warfare modernization","Navy, OSD, Joint MCM stakeholders","Integration with host platforms; LCS force structure uncertainty","Supports littoral operations, MCM, and small surface combatant concepts","Navy R-1 / Appropriations Explanatory Statement","","https://comptroller.defense.gov/Budget-Materials/","Representative BA4 integration program for ABM; end-state connection to BA7 surface modernization."
"Navy BA6","NAVY-BA6-HQ-MGMT","Navy","Department of the Navy","RDT&E Management Support – Navy HQ","", "RDT&E Infrastructure / Enabler","RDT&E portfolio governance, planning, financial oversight","TBD_BA6_NAVY_HQ","TBD_BA6_NAVY_HQ","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","OPNAV N9 / ASN(RDA) staffs","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Process or infrastructure risk; can slow testing and development if under-resourced","Core management enabler for Navy RDT&E; Title IV RDT&E","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Non-TRL program; influences ABM gate probabilities and cycle times."
"Navy BA6","NAVY-BA6-WARFARE-CTR","Navy","Department of the Navy","Warfare Centers RDT&E Infrastructure & Operations","", "RDT&E Infrastructure / Enabler","Operation, maintenance, modernization of warfare center labs & test facilities","TBD_BA6_NAVY_WFC","TBD_BA6_NAVY_WFC","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","NSWC / NUWC / NAWCAD / NAWCWD / NIWC","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Process or infrastructure risk; can slow testing and development if under-resourced","Warfare center infrastructure underpinning all naval RDT&E","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Non-TRL program; affects T&E and development throughput in ABM."
"Navy BA6","NAVY-BA6-RANGES","Navy","Department of the Navy","Test & Evaluation Ranges Management & Support","", "RDT&E Infrastructure / Enabler","Operation and sustainment of Navy T&E ranges for air, surface, and undersea tests","TBD_BA6_NAVY_RANGES","TBD_BA6_NAVY_RANGES","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","NAVAIR ranges, NSWC/NUWC ranges","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Range capacity and availability can delay test campaigns","Critical infrastructure for at-sea and flight T&E","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","T&E bottlenecks modeled as schedule constraints in ABM."
"Navy BA6","NAVY-BA6-MS-DE","Navy","Department of the Navy","Modeling, Simulation & Digital Engineering Support","", "RDT&E Infrastructure / Enabler","Enterprise-level M&S and digital twin environments for multiple RDT&E programs","TBD_BA6_NAVY_MS","TBD_BA6_NAVY_MS","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","Warfare centers + NIWC M&S teams","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Digital tool or model gaps can increase risk and cycle time","Supports digital engineering and virtual test across portfolios","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Factor in ABM for digital maturity and reduced rework."
"Navy BA6","NAVY-BA6-IT","Navy","Department of the Navy","RDT&E Information Systems & Classified Networks","", "RDT&E Infrastructure / Enabler","IT systems, networks, and data environments used by RDT&E organizations","TBD_BA6_NAVY_IT","TBD_BA6_NAVY_IT","RDT&E","BA 6 (RDT&E Management Support)","Base RDT&E",2026,"FY24–FY28","","","Unclassified (open-source)","N/A (infrastructure)","Tier 3 – Low","OPNAV / ASN(RDA)","NIWC + local N6/IT shops","","Management Support","Enables execution of Navy BA2–BA7 programs; no direct TRL path","Navy, OSD(C), OSD(R&E)","Network outages or cyber risks can disrupt RDT&E timelines","Core IT and networks supporting labs and ranges","Navy R-1 BA6 lines / NDAA","","https://comptroller.defense.gov/Budget-Materials/","Can be modeled as resilience factor affecting multiple programs."
