Program_ID,Mapped_PE_Number,Program_Name,Agency,Service_Component,Sub_Agency,Budget_Activity,Mission_Focus,Intel_Discipline,Authority_Alignment,FY24_Actual_$K,FY25_Enacted_$K,FY26_Request_$K,Period_of_Performance,Size_of_Team,Lab_Unit_Or_Contractor,Organic_Capabilities,Outsourced_Capabilities,Current_Status,Network_Centrality_Score,Transition_Risk_Index,Tech_Maturity_Level,Mission_Criticality_Score,Cross_Domain_Dependency_Count,Supply_Chain_Risk_Level,Innovation_Leverage_Factor,Sourcing_Status,Notes
0602702E,0602702E,DARPA Electronic Sciences,DoD,DARPA,MTO,BA2,Microelectronics,NA,Title10,120000,130000,140000,FY24-FY26,25,DARPA MTO,"Concept design; program management","Foundry services; advanced packaging",Research,4,2,3,5,3,Medium,5,R1_VERIFIED,"Foundational microelectronics research; low transition risk but high leverage."
0603766E,0603766E,DARPA Network-Centric Warfare Tech,DoD,DARPA,STO,BA3,C2_JADC2,ISR,Title10,180000,210000,230000,FY24-FY26,30,DARPA STO,"System architecture; experimentation","Large-scale integration test support",Prototype,4,3,5,5,4,Medium,4,R1_VERIFIED,"Prototype-heavy; moderate transition risk."
OUSD_MOD_001,,OUSD(R&E) Joint Autonomy Portfolio,DoD,OUSD(R&E),Autonomy Directorate,BA3,Autonomy_UxS,ISR,Title10,90000,100000,115000,FY24-FY26,20,OUSD(R&E) Portfolio Office,"Portfolio mgmt; experimentation design","Service labs; OEM integration",Prototype,5,3,5,5,4,Medium,5,ESTIMATE_ONLY_R1_PENDING,"Cross-service autonomy enabler; good candidate for ABM central node."
OUSD_SCI_001,,OUSD(R&E) Basic Science Initiative,DoD,OUSD(R&E),Basic Research,BA2,Foundational_Science,NA,Title10,60000,65000,70000,FY24-FY26,18,University & Lab Consortia,"S&T roadmap; basic experimentation","Academic execution",Research,3,2,2,3,1,Low,3,ESTIMATE_ONLY_R1_PENDING,"Low TRL; low short-term transition but feeds multiple lines."
0603892C,0603892C,Aegis BMD RDT&E,DoD,MDA,AEGIS,BA4,Strike,ISR,Title10,500000,520000,540000,FY24-FY26,110,MDA Aegis PEO,"Systems engineering; BMD integration","Shipyard mods; missile production",Development,5,3,6,5,4,High,4,R1_VERIFIED,"High mission criticality; moderate transition friction due to integration complexity."
0603888C,0603888C,Ground-Based Midcourse Defense,DoD,MDA,GMD,BA5,Missile_Defense,ISR,Title10,750000,780000,800000,FY24-FY26,130,MDA GMD,"Systems integration; test planning","Interceptor production; range ops",Development,5,4,6,5,4,High,5,R1_VERIFIED,"Very high transition risk & cost; anchor for stress-testing ABM."
MDA_HYP_001,,Hypersonic Defense Sensor Net,DoD,MDA,Hypersonic Defense,BA3,Sensors,ISR,Title10,150000,165000,185000,FY24-FY26,45,MDA Sensors,"Concept of ops; sensor fusion","Space & ground sensor vendors",Prototype,4,4,4,5,3,Medium,4,ESTIMATE_ONLY_R1_PENDING,"Medium TRL; watch behavior under budget cuts."
ARMY_BA2_001,0601102A,Army Materials Basic Research,DoD,Army,Combat Capabilities Dev Cmd,BA2,Foundational_Science,NA,Title10,80000,82000,84000,FY24-FY26,35,Army Research Lab,"Materials science; modeling","Specialized test labs",Research,3,2,2,4,1,Low,3,R1_VERIFIED,"Good low-TRL Army example."
ARMY_BA3_001,0603003A,Armored Vehicle Survivability Tech,DoD,Army,GVSC,BA3,Land_Warfare,ISR,Title10,130000,140000,150000,FY24-FY26,40,GVSC,"Vehicle concepts; test planning","Armor vendors; prototyping shops",Prototype,4,3,4,5,3,Medium,4,R1_VERIFIED,"Medium TRL, moderate transition risk."
ARMY_BA4_001,0604200A,Integrated Air & Missile Defense Dev,DoD,Army,PEO Missiles & Space,BA4,Air_Dominance,ISR,Title10,320000,340000,360000,FY24-FY26,85,PEO M&S,"System integration; test mgmt","Prime integrators",Development,5,3,6,5,4,Medium,4,R1_VERIFIED,"Strong candidate for RDT&E→O&M transition modeling."
