authority,domain,funding_source,gate,intel,kinetic,legal_status,org_type,outcome,researcher_id,stage,tick,trl
Title50,Cyber,ProgramBase,attempt,OSINT,Kinetic,not_conducted,Commercial,start,22,,1,2
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,1,2
Title50,Space,Partner,attempt,OSINT,Kinetic,not_conducted,GovLab,start,3,,2,4
Title50,Space,Partner,contracting,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,2,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,2,2
Title10,Space,Partner_CoDev,attempt,HUMINT,NonKinetic,not_conducted,GovLab,start,32,,2,2
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,2,2
Title10,ISR,UFR,attempt,OSINT,NonKinetic,not_conducted,GovContractor,start,35,,2,4
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,2,4
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,3,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,3,2
Title10,ISR,POM,attempt,HUMINT,Kinetic,not_conducted,GovContractor,start,30,,3,2
Title10,ISR,POM,funding,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,3,2
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,3,2
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,3,4
Title50,EW,Partner,attempt,GEOINT,NonKinetic,not_conducted,GovLab,start,37,,3,3
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,3,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,4,4
Title10,Space,POM,attempt,HUMINT,Kinetic,not_conducted,Commercial,start,13,,4,2
Title10,Space,POM,legal,HUMINT,Kinetic,unfavorable,Commercial,unfavorable,13,feasibility,4,2
Title10,Space,Partner_CoDev,attempt,MASINT,NonKinetic,not_conducted,GovContractor,start,14,,4,4
Title10,Space,Partner_CoDev,legal,MASINT,NonKinetic,unfavorable,GovContractor,unfavorable,14,feasibility,4,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,4,2
Title10,ISR,POM,contracting,HUMINT,Kinetic,favorable_with_caveats,GovContractor,fail,30,feasibility,4,2
Title10,Maritime,External,attempt,GEOINT,NonKinetic,not_conducted,GovLab,start,31,,4,2
Title10,Maritime,External,test,GEOINT,NonKinetic,favorable_with_caveats,GovLab,pass,31,feasibility,4,3
Title10,Maritime,External,test,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,31,feasibility,4,3
Title10,Space,Partner_CoDev,funding,HUMINT,NonKinetic,favorable,GovLab,fail,32,feasibility,4,2
Title10,ISR,UFR,funding,OSINT,NonKinetic,favorable_with_caveats,GovContractor,fail,35,feasibility,4,4
Title50,EW,Partner,funding,GEOINT,NonKinetic,favorable_with_caveats,GovLab,fail,37,feasibility,4,3
Title50,Space,Partner,funding,OSINT,Kinetic,favorable,GovLab,fail,3,feasibility,5,4
Title50,Cyber,ProgramBase,funding,OSINT,Kinetic,favorable,Commercial,fail,22,feasibility,5,2
