authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_penalty_factor,gate_prob_base,gate_prob_final,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,ISR,,Partner,attempt,,,,MASINT,NonKinetic,,,,,not_conducted,,,Commercial,start,LM,PEO C4I,proj-35,35,Air Force,Agency,,0,3
Title50,Commercial,ISR,,Partner,contracting,1.0,0.6,0.6,MASINT,NonKinetic,0,,,,favorable_with_caveats,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,0,3
Title10,Commercial,ISR,,ProgramBase,attempt,1.0,0.6,0.6,SIGINT,Kinetic,,,,,not_conducted,,,Commercial,start,LM,DARPA,proj-17,17,Army,CCMD,,1,4
Title10,,ISR,,ProgramBase,test,1.0,0.71,0.71,SIGINT,Kinetic,0,,,,favorable,favorable,,Commercial,pass,LM,DARPA,proj-17,17,Army,CCMD,feasibility,1,5
Title10,,ISR,,ProgramBase,test,1.0,0.71,0.71,SIGINT,Kinetic,0,,,,favorable,favorable,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,1,5
Title50,,Maritime,,External,attempt,1.0,0.71,0.71,HUMINT,Kinetic,,,,,not_conducted,favorable,,Commercial,start,LM,AFLCMC,proj-24,24,IC,Service HQ,,1,4
Title50,,Maritime,1.0,External,funding,0.95,0.32,0.304,HUMINT,Kinetic,0,,,,favorable_with_caveats,,,Commercial,fail,LM,AFLCMC,proj-24,24,IC,Service HQ,feasibility,1,4
Title50,,ISR,1.0,Partner,funding,0.855,0.3,0.2565,MASINT,NonKinetic,1,,,,favorable_with_caveats,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,1,3
Title50,,Space,1.0,External,attempt,0.855,0.3,0.2565,GEOINT,Kinetic,,,,,not_conducted,,,Commercial,start,None,AFLCMC,proj-11,11,Army,Agency,,2,4
Title50,,Space,1.0,External,funding,0.8075,0.32,0.2584,GEOINT,Kinetic,0,,,,favorable_with_caveats,,,Commercial,fail,None,AFLCMC,proj-11,11,Army,Agency,feasibility,2,4
