authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_dependency_mult,gate_evidence_mult,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_status_mult,gate_support_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,ISR,,Partner,attempt,,,,,,,,,,MASINT,NonKinetic,,,,,not_conducted,,,,Commercial,start,LM,PEO C4I,proj-35,35,Air Force,Agency,,0,3
Title50,,ISR,1.0,Partner,funding,,,1.0,1.0,0.3,0.24,1.0,1.0,0.8,MASINT,NonKinetic,0,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,0,3
Title10,,ISR,1.0,ProgramBase,attempt,,,1.0,1.0,0.3,0.24,1.0,1.0,0.8,SIGINT,Kinetic,,,,,not_conducted,,,,Commercial,start,LM,DARPA,proj-17,17,Army,CCMD,,1,4
Title10,,ISR,1.0,ProgramBase,funding,,,0.9025,1.0,0.4,0.2888,1.0,1.0,0.8,SIGINT,Kinetic,0,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,1,4
Title10,,Land,1.0,UFR,attempt,,,0.9025,1.0,0.4,0.2888,1.0,1.0,0.8,SIGINT,NonKinetic,,,,,not_conducted,,,,GovLab,start,NG,DARPA,proj-27,27,Space Force,CCMD,,1,4
Title10,,Land,1.0,UFR,funding,,,1.0,1.0,0.28,0.224,1.0,1.0,0.8,SIGINT,NonKinetic,0,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,1,4
Title50,,ISR,1.0,Partner,funding,,,0.731025,1.0,0.3,0.175446,1.0,1.0,0.8,MASINT,NonKinetic,1,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,1,3
Title10,,ISR,1.0,ProgramBase,funding,,,0.652056,1.0,0.4,0.208658,1.0,1.0,0.8,SIGINT,Kinetic,1,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-17,17,Army,CCMD,feasibility,2,4
Title10,,Land,1.0,UFR,funding,,,0.814506,1.0,0.28,0.182449,1.0,1.0,0.8,SIGINT,NonKinetic,1,,,,favorable_with_caveats,,,,GovLab,fail,NG,DARPA,proj-27,27,Space Force,CCMD,feasibility,2,4
Title10,,Air,1.0,POM,attempt,,,0.814506,1.0,0.28,0.182449,1.0,1.0,0.8,SIGINT,NonKinetic,,,,,not_conducted,,,,Commercial,start,LM,DARPA,proj-32,32,Navy,Service HQ,,2,3
Title10,,Air,1.0,POM,funding,,,0.8,1.0,0.36,0.2304,1.0,1.0,0.8,SIGINT,NonKinetic,0,,,,favorable,,,,Commercial,fail,LM,DARPA,proj-32,32,Navy,Service HQ,feasibility,2,3
Title50,,ISR,1.0,Partner,funding,,,0.486,1.0,0.3,0.11664,1.0,1.0,0.8,MASINT,NonKinetic,2,,,,favorable_with_caveats,,,,Commercial,fail,LM,PEO C4I,proj-35,35,Air Force,Agency,feasibility,2,3
Title50,,Cyber,1.0,POM,attempt,,,0.486,1.0,0.3,0.11664,1.0,1.0,0.8,OSINT,Kinetic,,,,,not_conducted,,,,GovLab,start,None,PEO C4I,proj-0,0,Space Force,POC-User,,3,2
Title50,,Cyber,,POM,legal,,,,,,,,,,OSINT,Kinetic,0,0.35,0.45,0.0,unfavorable,,1.0,0.15,GovLab,unfavorable,None,PEO C4I,proj-0,0,Space Force,POC-User,feasibility,3,2
Title50,,Air,,POM,attempt,,,,,,,,,,SIGINT,NonKinetic,,0.35,0.45,0.0,not_conducted,,1.0,0.15,GovContractor,start,NG,AFLCMC,proj-1,1,IC,POC-User,,3,4
