authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
MFP11,,Strike,,,Partner,attempt,,,,,,,,,,,,,,,,,ISR,NonKinetic,,,,,not_conducted,,,,GovContractor,start,Boeing,NAVWAR,SOCOM_BA3_001,19,SOCOM,Agency,,0,4
MFP11,,Strike,,,Partner,legal,,,,,,,,,,,,,,,,,ISR,NonKinetic,0,0.25,0.6,0.0,unfavorable,,1.0,0.1,GovContractor,unfavorable,Boeing,NAVWAR,SOCOM_BA3_001,19,SOCOM,Agency,prototype_demo,0,4
Title10,,Air_Dominance,,,POM,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,0.25,0.6,0.0,not_conducted,,1.0,0.1,Commercial,start,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,,0,2
Title10,,Air_Dominance,,,POM,test,0.0,1.0,1.0,0.775,,1.0,1.0,1.0,0.58,0.4495,1.0,,0,1.0,,1.0,ISR,Kinetic,0,,,,favorable,favorable,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,0,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.02,0.9025,1.0,0.23625,0.225831,1.0,1.18,1,1.0,0.88,,ISR,Kinetic,1,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,1,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.04,0.731025,1.0,0.23625,0.18651,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,2,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,2,2
Title10,,Sensors,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.04,0.731025,1.0,0.23625,0.18651,1.0,1.18,2,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,,3,2
Title10,,Sensors,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,1.0,1.0,0.4,0.41536,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable,,,,GovLab,fail,Boeing,DEVCOM,NAVY_BA3_002,35,Navy,Agency,prototype_demo,3,2
Title10,,Air_Dominance,0.0,0.75,POM,funding,,,1.0,,,1.06,0.585225,1.0,0.23625,0.152183,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,3,,,,favorable,,,,Commercial,fail,LM,NAVWAR,NAVY_BA4_002,36,Navy,Service HQ,functional_test,3,2
Title10,,Sensors,0.0,0.75,POM,attempt,,,1.0,,,1.06,0.585225,1.0,0.23625,0.152183,1.0,1.18,3,1.0,0.88,,ISR,Kinetic,,,,,not_conducted,,,,GovLab,start,None,DEVCOM,AF_BA3_002,39,Air Force,Service HQ,,3,2
