adoption_align_mult,adoption_base_vote,adoption_portfolio_mult,adoption_status_mult,authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
,,,,Title10,,C2_JADC2,,,Partner,attempt,,,,,,,,,,,,,,,,,ISR,Kinetic,,,,,not_conducted,,,,Commercial,start,SAIC,NAVWAR,AF_BA5_001,18,Air Force,Agency,,0,3
,,,,Title10,Commercial,C2_JADC2,,,Partner,contracting,0.0,,1.0,,1.0,1.0,1.0,,0.6,0.6,,,0,1.0,,,ISR,Kinetic,0,,,,favorable,,,,Commercial,fail,SAIC,NAVWAR,AF_BA5_001,18,Air Force,Agency,vulnerability_test,0,3
,,,,Title10,Commercial,Medical,,,ProgramBase,attempt,0.0,,1.0,,1.0,1.0,1.0,,0.6,0.6,,,0,1.0,,,Medical,Kinetic,,,,,not_conducted,,,,Commercial,start,NG,DEVCOM,DHA_BA2_001,26,DHA,POC-User,,0,4
,,,,Title10,,Medical,,,ProgramBase,test,0.0,1.0,1.0,0.7,,1.0,1.0,1.0,0.79,0.553,1.0,,0,1.0,,1.0,Medical,Kinetic,0,,,,favorable,favorable,,,Commercial,pass,NG,DEVCOM,DHA_BA2_001,26,DHA,POC-User,feasibility,0,5
,,,,Title10,,Strike,,,Partner,attempt,0.0,1.0,1.0,0.7,,1.0,1.0,1.0,0.79,0.553,1.0,,0,1.0,,1.0,ISR,NonKinetic,,,,,not_conducted,favorable,,,GovContractor,start,None,DEVCOM,ARMY_BA4_002,31,Army,Service HQ,,0,2
,,,,Title10,,Strike,0.0,0.75,Partner,funding,,,1.0,,,1.0,1.0,1.0,0.253125,0.298688,1.0,1.18,0,1.0,1.0,,ISR,NonKinetic,0,,,,favorable,,,,GovContractor,fail,None,DEVCOM,ARMY_BA4_002,31,Army,Service HQ,functional_test,0,2
,,,,Title10,,Microelectronics,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.0,1.0,1.0,0.253125,0.298688,1.0,1.18,0,1.0,1.0,,NA,NonKinetic,,,,,not_conducted,,,,GovContractor,start,SAIC,DARPA,0602702E,0,DARPA,POC-User,,1,4
,,,,Title10,,Microelectronics,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.975,1.0,0.5,0.57525,1.0,1.18,0,1.0,1.0,,NA,NonKinetic,0,,,,favorable,,,,GovContractor,fail,SAIC,DARPA,0602702E,0,DARPA,POC-User,feasibility,1,4
,,,,Title10,,Strike,0.0,1.0,POM,attempt,,,1.0,,,1.0,0.975,1.0,0.5,0.57525,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,,,,,not_conducted,,,,GovContractor,start,Leidos,DEVCOM,0603892C,4,MDA,Service HQ,,1,3
,,,,Title10,,Strike,0.0,0.75,POM,funding,,,1.0,,,1.0,0.92625,1.0,0.30375,0.331991,1.0,1.18,0,1.0,1.0,,ISR,Kinetic,0,,,,favorable,,,,GovContractor,fail,Leidos,DEVCOM,0603892C,4,MDA,Service HQ,functional_test,1,3
