authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_penalty_factor,gate_prob_base,gate_prob_final,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Space,,ProgramBase,attempt,,,,SIGINT,Kinetic,,,,,not_conducted,,,Commercial,start,None,NAVWAR,proj-1,1,IC,POC-User,,0,2
Title50,,Space,1.0,ProgramBase,funding,1.0,0.25,0.25,SIGINT,Kinetic,0,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,feasibility,0,2
Title50,,ISR,1.0,External,attempt,1.0,0.25,0.25,OSINT,Kinetic,,,,,not_conducted,,,GovContractor,start,SAIC,NRL,proj-21,21,IC,POC-User,,0,2
Title50,,ISR,1.0,External,funding,1.0,0.2,0.2,OSINT,Kinetic,0,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,0,2
Title50,,Space,,ProgramBase,test,0.95,0.65,0.6175,SIGINT,Kinetic,1,,,,favorable,favorable,,Commercial,pass,None,NAVWAR,proj-1,1,IC,POC-User,feasibility,1,3
Title50,,Space,,ProgramBase,test,0.95,0.65,0.6175,SIGINT,Kinetic,0,,,,favorable,favorable,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,feasibility,1,3
Title50,,ISR,1.0,External,funding,0.857375,0.2,0.171475,OSINT,Kinetic,1,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,1,2
Title50,,Air,,UFR,attempt,0.81225,0.6,0.48735,SIGINT,Kinetic,,,,,not_conducted,favorable,,Commercial,start,Leidos,NAVWAR,proj-14,14,USMC,Agency,,2,4
Title50,,Air,1.0,UFR,funding,0.95,0.175,0.16625,SIGINT,Kinetic,0,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,2,4
Title50,,ISR,1.0,External,funding,0.729,0.2,0.1458,OSINT,Kinetic,2,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,2,2
Title10,,Maritime,1.0,Partner,attempt,0.729,0.2,0.1458,MASINT,NonKinetic,,,,,not_conducted,,,Commercial,start,Leidos,DARPA,proj-29,29,Air Force,Agency,,2,2
Title10,Commercial,Maritime,,Partner,contracting,0.9,0.45,0.405,MASINT,NonKinetic,0,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,2,2
Title50,,Space,1.0,ProgramBase,funding,0.72675,0.25,0.181688,SIGINT,Kinetic,2,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,3,3
Title50,Commercial,Air,,UFR,contracting,0.76,0.45,0.342,SIGINT,Kinetic,1,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,3,4
Title10,Commercial,Maritime,,UFR,attempt,0.76,0.45,0.342,GEOINT,NonKinetic,,,,,not_conducted,,,GovContractor,start,None,NAVWAR,proj-20,20,Space Force,Service HQ,,3,4
Title10,,Maritime,1.0,UFR,funding,0.8075,0.175,0.141312,GEOINT,NonKinetic,0,,,,favorable,,,GovContractor,fail,None,NAVWAR,proj-20,20,Space Force,Service HQ,feasibility,3,4
Title50,,ISR,1.0,External,funding,0.578,0.2,0.1156,OSINT,Kinetic,3,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,3,2
Title10,,Maritime,,Partner,test,0.95,0.67,0.6365,MASINT,NonKinetic,1,,,,favorable_with_caveats,favorable_with_caveats,,Commercial,pass,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,3,3
Title10,,Maritime,,Partner,test,0.95,0.67,0.6365,MASINT,NonKinetic,0,,,,favorable_with_caveats,favorable_with_caveats,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,3,3
Title50,Commercial,Space,,ProgramBase,contracting,0.6375,0.45,0.286875,SIGINT,Kinetic,3,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,4,3
Title10,Commercial,Maritime,,UFR,attempt,0.6375,0.45,0.286875,HUMINT,NonKinetic,,,,,not_conducted,,,GovContractor,start,SAIC,NRL,proj-10,10,Army,CCMD,,4,3
Title10,,Maritime,1.0,UFR,funding,0.675,0.175,0.118125,HUMINT,NonKinetic,0,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,4,3
Title50,,Air,1.0,UFR,funding,0.5355,0.175,0.093712,SIGINT,Kinetic,2,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,4,4
Title10,,Maritime,1.0,UFR,funding,0.532,0.175,0.0931,GEOINT,NonKinetic,1,,,,favorable,,,GovContractor,fail,None,NAVWAR,proj-20,20,Space Force,Service HQ,feasibility,4,4
Title50,,ISR,1.0,External,funding,0.448,0.2,0.0896,OSINT,Kinetic,4,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,4,2
Title10,,Maritime,1.0,Partner,funding,0.63,0.1875,0.118125,MASINT,NonKinetic,1,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,prototype_demo,4,3
