authority,contract_org_type,domain,funding_class_penalty,funding_color_weight,funding_source,gate,gate_class_penalty,gate_dependency_mult,gate_domain_mult,gate_evidence_mult,gate_exec_mult,gate_latency_boost,gate_penalty_factor,gate_portfolio_mult,gate_prob_base,gate_prob_final,gate_shock_factor,gate_sponsor_mult,gate_stage_age,gate_status_mult,gate_support_mult,gate_test_mult,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_status_mult,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title10,,Autonomy_UxS,,,POM,attempt,,,,,,,,,,,,,,,,,ISR,NonKinetic,,,,,not_conducted,,,,Commercial,start,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,,0,2
Title10,,Autonomy_UxS,0.0,1.0,POM,funding,,,1.0,,,1.0,1.0,1.0,0.225,0.23364,1.0,1.18,0,1.0,0.88,,ISR,NonKinetic,0,,,,favorable,,,,Commercial,fail,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,prototype_demo,0,2
Title10;Title50,,Sensors,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,1.0,1.0,0.225,0.23364,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,,,,,not_conducted,,,,Commercial,start,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,,0,2
Title10;Title50,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.95,1.0,0.15,0.147972,1.0,1.18,0,1.0,0.88,,CBRNE,Kinetic,0,,,,favorable,,,,Commercial,fail,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,functional_test,0,2
Title10,,Foundational_Science,0.0,0.75,UFR,attempt,,,1.0,,,1.0,0.95,1.0,0.15,0.147972,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,Commercial,start,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,,0,2
Title10,Commercial,Foundational_Science,,,UFR,contracting,0.0,,1.0,,1.0,1.0,0.9,,0.45,0.405,,,0,1.0,,,NA,NonKinetic,0,,,,favorable,,,,Commercial,fail,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,feasibility,0,2
Title10,Commercial,C2_JADC2,,,ProgramBase,attempt,0.0,,1.0,,1.0,1.0,0.9,,0.45,0.405,,,0,1.0,,,ISR,Kinetic,,,,,not_conducted,,,,Commercial,start,NG,NRL,0603766E,1,DARPA,Service HQ,,1,3
Title10,,C2_JADC2,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.8075,1.0,0.25,0.209627,1.0,1.18,0,1.0,0.88,,ISR,Kinetic,0,,,,favorable,,,,Commercial,fail,NG,NRL,0603766E,1,DARPA,Service HQ,prototype_demo,1,3
Title10,,Test_Ranges,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.0,0.8075,1.0,0.25,0.209627,1.0,1.18,0,1.0,0.88,,NA,Kinetic,,,,,not_conducted,,,,GovContractor,start,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,,1,2
Title10,,Test_Ranges,0.0,0.75,ProgramBase,funding,,,1.0,,,1.0,0.9,1.0,0.15,0.140184,1.0,1.18,0,1.0,0.88,,NA,Kinetic,0,,,,favorable_with_caveats,,,,GovContractor,fail,NG,DARPA,NAVY_BA6_001,14,Navy,Service HQ,operational_test,1,2
Title10,,Air_Dominance,0.0,0.75,ProgramBase,attempt,,,1.0,,,1.0,0.9,1.0,0.15,0.140184,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,GovContractor,start,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,,1,4
Title10,,Air_Dominance,0.0,1.0,ProgramBase,funding,,,1.0,,,1.0,0.8075,1.0,0.25,0.209627,1.0,1.18,0,1.0,0.88,,NA,NonKinetic,0,,,,favorable,,,,GovContractor,fail,NG,NAVWAR,AF_BA2_001,15,Air Force,POC-User,feasibility,1,4
Title10,,Autonomy_UxS,0.0,1.0,POM,funding,,,1.0,,,1.02,0.6859,1.0,0.225,0.163459,1.0,1.18,1,1.0,0.88,,ISR,NonKinetic,1,,,,favorable,,,,Commercial,fail,NG,PEO C4I,AF_BA3_001,16,Air Force,Service HQ,prototype_demo,1,2
Title10;Title50,,Sensors,0.0,0.75,ProgramBase,funding,,,1.0,,,1.02,0.5415,1.0,0.15,0.086031,1.0,1.18,1,1.0,0.88,,CBRNE,Kinetic,1,,,,favorable,,,,Commercial,fail,LM,AFLCMC,CBDP_BA4_001,25,CBDP,Service HQ,functional_test,1,2
Title10,,Foundational_Science,0.0,1.0,UFR,funding,,,1.0,,,1.02,0.63175,1.0,0.175,0.117098,1.0,1.18,1,1.0,0.88,,NA,NonKinetic,1,,,,favorable,,,,Commercial,fail,SAIC,DEVCOM,NAVY_BA2_002,34,Navy,Agency,feasibility,1,2
Title10,,Air_Dominance,0.0,1.0,ProgramBase,attempt,,,1.0,,,1.02,0.63175,1.0,0.175,0.117098,1.0,1.18,1,1.0,0.88,,NA,NonKinetic,,,,,not_conducted,,,,Commercial,start,LM,DEVCOM,AF_BA2_002,38,Air Force,Agency,,1,3
