authority,contract_org_type,domain,funding_color_weight,funding_source,gate,gate_penalty_factor,gate_prob_base,gate_prob_final,intel,kinetic,latency_in_stage,legal_caveats,legal_favorable,legal_penalty_applied,legal_status,legal_status_at_test,legal_unfavorable,org_type,outcome,prime_contractor,program_office,project_id,researcher_id,service_component,sponsor,stage,tick,trl
Title50,,Space,,ProgramBase,attempt,,,,SIGINT,Kinetic,,,,,not_conducted,,,Commercial,start,None,NAVWAR,proj-1,1,IC,POC-User,,0,2
Title50,,Space,1.0,ProgramBase,funding,1.0,0.35,0.35,SIGINT,Kinetic,0,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,feasibility,0,2
Title50,,ISR,1.0,External,attempt,1.0,0.35,0.35,OSINT,Kinetic,,,,,not_conducted,,,GovContractor,start,SAIC,NRL,proj-21,21,IC,POC-User,,0,2
Title50,,ISR,1.0,External,funding,1.0,0.28,0.28,OSINT,Kinetic,0,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,0,2
Title50,,Space,,ProgramBase,test,0.95,0.65,0.6175,SIGINT,Kinetic,1,,,,favorable,favorable,,Commercial,pass,None,NAVWAR,proj-1,1,IC,POC-User,feasibility,1,3
Title50,,Space,,ProgramBase,test,0.95,0.65,0.6175,SIGINT,Kinetic,0,,,,favorable,favorable,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,feasibility,1,3
Title50,,ISR,1.0,External,funding,0.857375,0.28,0.240065,OSINT,Kinetic,1,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,1,2
Title50,,Air,,UFR,attempt,0.81225,0.6,0.48735,SIGINT,Kinetic,,,,,not_conducted,favorable,,Commercial,start,Leidos,NAVWAR,proj-14,14,USMC,Agency,,2,4
Title50,,Air,1.0,UFR,funding,0.95,0.245,0.23275,SIGINT,Kinetic,0,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,2,4
Title50,,ISR,1.0,External,funding,0.729,0.28,0.20412,OSINT,Kinetic,2,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,2,2
Title10,,Maritime,1.0,Partner,attempt,0.729,0.28,0.20412,MASINT,NonKinetic,,,,,not_conducted,,,Commercial,start,Leidos,DARPA,proj-29,29,Air Force,Agency,,2,2
Title10,Commercial,Maritime,,Partner,contracting,0.9,0.5,0.45,MASINT,NonKinetic,0,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,2,2
Title50,,Space,1.0,ProgramBase,funding,0.72675,0.35,0.254362,SIGINT,Kinetic,2,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,3,3
Title50,,Space,,UFR,attempt,0.9025,0.65,0.586625,MASINT,NonKinetic,,,,,not_conducted,favorable_with_caveats,,GovLab,start,LM,PEO C4I,proj-19,19,Space Force,Service HQ,,3,2
Title50,,Space,1.0,UFR,funding,0.95,0.245,0.23275,MASINT,NonKinetic,0,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,3,2
Title50,GovContractor,ISR,,External,contracting,0.7225,0.55,0.397375,OSINT,Kinetic,3,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,3,2
Title10,Commercial,Maritime,,Partner,contracting,0.76,0.5,0.38,MASINT,NonKinetic,1,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,3,2
Title50,Commercial,Space,,ProgramBase,contracting,0.6375,0.5,0.31875,SIGINT,Kinetic,3,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,4,3
Title10,Commercial,Maritime,,UFR,attempt,0.6375,0.5,0.31875,HUMINT,NonKinetic,,,,,not_conducted,,,GovContractor,start,SAIC,NRL,proj-10,10,Army,CCMD,,4,3
Title10,,Maritime,1.0,UFR,funding,0.72,0.245,0.1764,HUMINT,NonKinetic,0,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,4,3
Title50,,Air,1.0,UFR,funding,0.56525,0.245,0.138486,SIGINT,Kinetic,2,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,4,4
Title50,,Space,1.0,UFR,funding,0.722,0.245,0.17689,MASINT,NonKinetic,1,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,4,2
Title50,,ISR,1.0,External,funding,0.51,0.28,0.1428,OSINT,Kinetic,4,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,4,2
Title10,,Maritime,1.0,Partner,funding,0.63,0.2625,0.165375,MASINT,NonKinetic,2,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,4,2
Title50,,Space,1.0,ProgramBase,funding,0.504,0.35,0.1764,SIGINT,Kinetic,4,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,5,3
Title10,,Maritime,1.0,UFR,funding,0.49875,0.245,0.122194,HUMINT,NonKinetic,1,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,5,3
Title50,,Air,1.0,UFR,funding,0.441,0.245,0.108045,SIGINT,Kinetic,3,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,5,4
Title50,,Space,1.0,UFR,funding,0.567,0.245,0.138915,MASINT,NonKinetic,2,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,5,2
Title50,,ISR,1.0,External,funding,0.42,0.28,0.1176,OSINT,Kinetic,5,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,5,2
Title10,,Space,1.0,External,attempt,0.42,0.28,0.1176,MASINT,Kinetic,,,,,not_conducted,,,GovLab,start,None,AFLCMC,proj-26,26,Army,CCMD,,5,4
Title10,,Space,1.0,External,funding,0.6375,0.28,0.1785,MASINT,Kinetic,0,,,,favorable,,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,feasibility,5,4
Title10,,Maritime,1.0,Partner,funding,0.56525,0.2625,0.148378,MASINT,NonKinetic,3,,,,favorable_with_caveats,,,Commercial,fail,Leidos,DARPA,proj-29,29,Air Force,Agency,feasibility,5,2
Title50,,Space,1.0,ProgramBase,funding,0.44625,0.35,0.156187,SIGINT,Kinetic,5,,,,favorable,,,Commercial,fail,None,NAVWAR,proj-1,1,IC,POC-User,prototype_demo,6,3
Title10,,Maritime,1.0,UFR,funding,0.441,0.245,0.108045,HUMINT,NonKinetic,2,,,,favorable_with_caveats,,,GovContractor,fail,SAIC,NRL,proj-10,10,Army,CCMD,feasibility,6,3
Title50,,Air,1.0,UFR,funding,0.4165,0.245,0.102042,SIGINT,Kinetic,4,,,,favorable_with_caveats,,,Commercial,fail,Leidos,NAVWAR,proj-14,14,USMC,Agency,feasibility,6,4
Title50,,Space,1.0,UFR,funding,0.476,0.245,0.11662,MASINT,NonKinetic,3,,,,favorable,,,GovLab,fail,LM,PEO C4I,proj-19,19,Space Force,Service HQ,feasibility,6,2
Title50,,ISR,1.0,External,funding,0.343,0.28,0.09604,OSINT,Kinetic,6,,,,favorable,,,GovContractor,fail,SAIC,NRL,proj-21,21,IC,POC-User,feasibility,6,2
Title10,,Space,,External,test,0.857375,0.68,0.583015,MASINT,Kinetic,1,,,,favorable,favorable,,GovLab,pass,None,AFLCMC,proj-26,26,Army,CCMD,feasibility,6,5
Title10,,Space,,External,test,0.857375,0.68,0.583015,MASINT,Kinetic,0,,,,favorable,favorable,,GovLab,fail,None,AFLCMC,proj-26,26,Army,CCMD,feasibility,6,5
